date,Ke Jie
2020-01-05,40
2020-01-12,54
2020-01-19,86
2020-01-26,78
2020-02-02,23
2020-02-09,54
2020-02-16,31
2020-02-23,75
2020-03-01,52
2020-03-08,51
2020-03-15,74
2020-03-22,64
2020-03-29,49
2020-04-05,58
2020-04-12,49
2020-04-19,77
2020-04-26,63
2020-05-03,84
2020-05-10,84
2020-05-17,64
2020-05-24,80
2020-05-31,63
2020-06-07,57
2020-06-14,43
2020-06-21,52
2020-06-28,52
2020-07-05,45
2020-07-12,47
2020-07-19,54
2020-07-26,47
2020-08-02,53
2020-08-09,75
2020-08-16,53
2020-08-23,30
2020-08-30,88
2020-09-06,38
2020-09-13,29
2020-09-20,44
2020-09-27,53
2020-10-04,45
2020-10-11,71
2020-10-18,39
2020-10-25,62
2020-11-01,73
2020-11-08,62
2020-11-15,24
2020-11-22,46
2020-11-29,76
2020-12-06,54
2020-12-13,63
2020-12-20,51
2020-12-27,67
2021-01-03,100
2021-01-10,61
2021-01-17,61
2021-01-24,38
2021-01-31,69
2021-02-07,38
2021-02-14,78
2021-02-21,76
2021-02-28,23
2021-03-07,54
2021-03-14,29
2021-03-21,46
2021-03-28,56
2021-04-04,39
2021-04-11,16
2021-04-18,23
2021-04-25,69
2021-05-02,85
2021-05-09,16
2021-05-16,54
2021-05-23,47
2021-05-30,32
2021-06-06,23
2021-06-13,16
2021-06-20,40
2021-06-27,16
2021-07-04,0
2021-07-11,16
2021-07-18,17
2021-07-25,48
2021-08-01,40
2021-08-08,32
2021-08-15,56
2021-08-22,42
2021-08-29,50
2021-09-05,17
2021-09-12,76
2021-09-19,68
2021-09-26,25
2021-10-03,42
2021-10-10,52
2021-10-17,34
2021-10-24,33
2021-10-31,26
2021-11-07,25
2021-11-14,42
2021-11-21,50
2021-11-28,16
2021-12-05,34
2021-12-12,44
2021-12-19,46
2021-12-26,9
